DUID,dbin,q,ratio,price,n,norm
TORRB2,-12..-6h,0.4,124.497008901989,15500,18,registered
TORRB2,-1..0h,0.4,121.358051966162,16600,21,registered
TORRB2,-6..-3h,0.4,109.760977474402,15500,20,registered
TORRB2,-3..-1h,0.4,56.6183985686869,15500,16,registered
TORRB3,<=-24h,0.4,82.7120863114209,15490.7,88,registered
TORRB3,0..+3h (post),0.4,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.4,1.28248303410673,348.97,23,registered
TORRB3,-6..-3h,0.4,51.8032545812458,15490.7,15,registered
TORRB4,0..+3h (post),0.4,135.100499331445,15500,165,registered
TORRB4,<=-24h,0.4,56.5844275295457,15490.7,39,registered
TORRB4,-12..-6h,0.4,118.309041808419,15490.7,19,registered
TORRB4,-1..0h,0.4,82.7617433574356,15500,21,registered
TORRB4,-6..-3h,0.4,121.43091051247,15500,15,registered
BARKIPS1,<=-24h,0.45,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.45,99.721312213991,15493.8,33,registered
BARKIPS1,-12..-6h,0.45,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.45,120.638158714339,15493.8,42,registered
DRYCGT1,<=-24h,0.45,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.45,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.45,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.45,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.45,42.0460014692099,13114.43,22,registered
MINTARO,<=-24h,0.45,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.45,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.45,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.45,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.45,94.6275946275947,15339.575,46,registered
MINTARO,-1..0h,0.45,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.45,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.45,121.123273797988,15500,18,registered
PPCCGT,<=-24h,0.45,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.45,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.45,118.110622201637,15300.05,49,registered
QPS5,-6..-3h,0.45,140.599614041537,15300.05,16,registered
QPS5,-12..-6h,0.45,138.765842998824,15300.05,15,registered
QPS5,-24..-12h,0.45,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.45,121.43091051247,16600,152,registered
TORRB2,<=-24h,0.45,101.050139123224,15098.49,62,registered
TORRB2,-12..-6h,0.45,124.497008901989,15500,18,registered
TORRB2,-1..0h,0.45,121.358051966162,16600,21,registered
TORRB2,-6..-3h,0.45,109.760977474402,15500,20,registered
TORRB2,-3..-1h,0.45,56.6183985686869,15500,16,registered
TORRB3,<=-24h,0.45,82.7120863114209,15490.7,88,registered
TORRB3,0..+3h (post),0.45,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.45,1.28248303410673,348.970000000001,23,registered
TORRB3,-6..-3h,0.45,68.9578854855123,15500,15,registered
TORRB4,0..+3h (post),0.45,135.100499331445,15500,165,registered
TORRB4,<=-24h,0.45,56.5844275295457,15490.7,39,registered
TORRB4,-12..-6h,0.45,118.309041808419,15490.7,19,registered
TORRB4,-1..0h,0.45,117.5649965408,15500,21,registered
TORRB4,-6..-3h,0.45,121.43091051247,15500,15,registered
BARKIPS1,<=-24h,0.5,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.5,119.636939548583,15493.8,33,registered
BARKIPS1,-12..-6h,0.5,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.5,120.638158714339,15493.8,42,registered
DRYCGT1,<=-24h,0.5,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.5,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.5,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.5,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.5,42.0460014692099,13114.43,22,registered
MINTARO,<=-24h,0.5,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.5,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.5,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.5,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.5,94.6275946275947,15339.575,46,registered
MINTARO,-1..0h,0.5,131.851810136766,16178.36,26,registered
MINTARO,-3..-1h,0.5,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.5,121.123273797988,15500,18,registered
PPCCGT,<=-24h,0.5,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.5,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.5,118.110622201637,15300.05,49,registered
QPS5,-6..-3h,0.5,140.599614041537,15300.05,16,registered
QPS5,-12..-6h,0.5,138.765842998824,15300.05,15,registered
QPS5,-24..-12h,0.5,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.5,121.43091051247,16600,152,registered
TORRB2,<=-24h,0.5,101.050139123224,15098.49,62,registered
TORRB2,-12..-6h,0.5,124.497008901989,15500,18,registered
TORRB2,-1..0h,0.5,121.358051966162,16600,21,registered
TORRB2,-6..-3h,0.5,118.326793490194,15500,20,registered
TORRB2,-3..-1h,0.5,87.4637201885529,15500,16,registered
TORRB3,<=-24h,0.5,82.7120863114209,15490.7,88,registered
TORRB3,0..+3h (post),0.5,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.5,118.309041808419,15500,23,registered
TORRB3,-6..-3h,0.5,118.34454517197,15500,15,registered
TORRB4,0..+3h (post),0.5,135.100499331446,15500,165,registered
TORRB4,<=-24h,0.5,56.5844275295457,15490.7,39,registered
TORRB4,-12..-6h,0.5,118.309041808419,15490.7,19,registered
TORRB4,-1..0h,0.5,118.34454517197,15500,21,registered
TORRB4,-6..-3h,0.5,121.43091051247,15500,15,registered
BARKIPS1,<=-24h,0.55,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.55,119.636939548583,15493.8,33,registered
BARKIPS1,-12..-6h,0.55,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.55,120.638158714339,15493.8,42,registered
DRYCGT1,<=-24h,0.55,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.55,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.55,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.55,39.0828613533718,13114.43,56,registered
