DUID,delta_star,cheap_m,cheap_se,avail_m,avail_se,above_m,above_se,dcheap_m,dcheap_se,davail_m,davail_se,dabove_m,dabove_se,n_ep,fixed_set
TORRB3,-2,0.0353879514289606,0.00874456224733928,0.064861531299324,0.0159492537840041,0.41145289795575,0.0787639357647405,-0.00898881470486183,0.00951607541206781,-0.0471391278980491,0.0199579938429494,-0.0773273346982577,0.0733033151063768,127,127
TORRB3,-1,0.0364557695645968,0.00877540862811003,0.0659293494349602,0.015950534840178,0.389797482273868,0.0775866450629412,-0.00792099656922556,0.00935434805240505,-0.0460713097624129,0.0195783360877585,-0.121750999749661,0.081427193787494,127,127
TORRB3,0,0.0347265974418354,0.00835941148659492,0.0632661819340308,0.014065205326612,0.396665848164595,0.0777117985869766,-0.00965016869198694,0.00977620732068925,-0.0487344772633423,0.0205883960229612,-0.152786460742569,0.0948057722913955,127,127
TORRB4,-24,0.0212243957236209,0.00589297178238902,0.0588415102566965,0.0188117659623728,0.466363428012264,0.0973491509289801,0,0,0,0,0,0,130,130
TORRB4,-18,0.0220332714632659,0.00592301882580859,0.0596503859963414,0.0188086636663487,0.430489318165167,0.0964667347597516,0.00080887573964497,0.00159505274800404,0.00080887573964497,0.00159505274800404,0,0,130,130
TORRB4,-12,0.0227751461588978,0.00597044789610867,0.0662304109809907,0.0201080192455243,0.453951476694245,0.0923412117182438,0.00155075043527689,0.00171339072282315,0.00738890072429423,0.00618720644167544,0.0632466281310212,0.0632466281310212,130,130
TORRB4,-9,0.0250992244474731,0.00634136251983104,0.0739227186732984,0.0213449141037016,0.470212699746976,0.087483045380809,0.00387482872385222,0.00257902433032592,0.0150812084166019,0.00982710112732967,0.0586312435156366,0.0638319029845432,130,130
TORRB4,-6,0.0297380143345167,0.00691649212508689,0.0868271095815354,0.0226991317950281,0.501967819065392,0.0758658320178859,0.00851361861089578,0.00582154242278702,0.027985599324839,0.0225052969360992,0.165875333511574,0.115136075897502,130,130
TORRB4,-4,0.0310530305472084,0.00835601012123707,0.0748666256210515,0.020567178823812,0.410451689170142,0.0790099650551391,0.00982863482358756,0.00782309265855782,0.016025115364355,0.023617499766173,0.0130577640193779,0.144912577343423,130,130
TORRB4,-3,0.02707953262601,0.00797295575214425,0.0540791864779161,0.0156600950769153,0.382319013686581,0.0814372993017136,0.00585513690238909,0.00693558094798733,-0.00476232377878032,0.0175981450096589,-0.012047727847803,0.133214538051237,130,130
TORRB4,-2,0.0330045140455566,0.00896031377753673,0.0599641067079359,0.0157203277622334,0.363554985941202,0.0730927121302668,0.0117801183219357,0.00765157191162812,0.00112259645123939,0.0169274121815868,-0.0511107119404527,0.120710926863686,130,130
TORRB4,-1,0.0349433665641964,0.00894192162533931,0.0600285423745606,0.0152159502125806,0.314753716089011,0.064776907476952,0.0137189708405755,0.00778258071262245,0.0011870321178641,0.0175134342283442,-0.0777114097955347,0.135744170483878,130,130
TORRB4,0,0.052578482777804,0.0114604153257032,0.0849009372254963,0.0170545024739362,0.315294490893794,0.0563952564716625,0.0313540870541832,0.0108514855207385,0.0260594269687999,0.0197165328751206,-0.0777114097955347,0.135744170483878,130,130
