duid,tech_label,yyyymm,gas_gj,diesel_gj,fuel_type,incr_hr,static_hr,vom_mwh,srmc_marginal,srmc_allin
MINTARO,OCGT (Mintaro),202209,27.29,48.6842105263158,gas,10,12.72,12,284.9,359.1288
BARKIPS1,Recip. (Barker Inlet),202209,27.29,48.6842105263158,gas,7.9,7.9,8.51,224.101,224.101
DRYCGT1,OCGT (Dry Creek),202209,27.29,48.6842105263158,gas,10.97,13.69,8.1,307.4713,381.7001
DRYCGT2,OCGT (Dry Creek),202209,27.29,48.6842105263158,gas,10.97,13.69,8.1,307.4713,381.7001
DRYCGT3,OCGT (Dry Creek),202209,27.29,48.6842105263158,gas,10.97,13.69,8.1,307.4713,381.7001
QPS5,OCGT (Quarantine),202209,27.29,48.6842105263158,gas,8,10.71,8.1,226.42,300.3759
TORRB1,Gas-steam (Torrens B),202210,18.59,47.3684210526316,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB2,Gas-steam (Torrens B),202210,18.59,47.3684210526316,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB3,Gas-steam (Torrens B),202210,18.59,47.3684210526316,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB4,Gas-steam (Torrens B),202210,18.59,47.3684210526316,gas,9.94,10.71,2.5,187.2846,201.5989
PPCCGT,CCGT (Pelican Pt),202210,18.59,47.3684210526316,gas,7.35,7.35,4.1,140.7365,140.7365
OSB-AG,Cogen (Osborne),202210,18.59,47.3684210526316,gas,8.16,8.16,4.1,155.7944,155.7944
MINTARO,OCGT (Mintaro),202210,18.59,47.3684210526316,gas,10,12.72,12,197.9,248.4648
BARKIPS1,Recip. (Barker Inlet),202210,18.59,47.3684210526316,gas,7.9,7.9,8.51,155.371,155.371
DRYCGT1,OCGT (Dry Creek),202210,18.59,47.3684210526316,gas,10.97,13.69,8.1,212.0323,262.5971
DRYCGT2,OCGT (Dry Creek),202210,18.59,47.3684210526316,gas,10.97,13.69,8.1,212.0323,262.5971
DRYCGT3,OCGT (Dry Creek),202210,18.59,47.3684210526316,gas,10.97,13.69,8.1,212.0323,262.5971
QPS5,OCGT (Quarantine),202210,18.59,47.3684210526316,gas,8,10.71,8.1,156.82,207.1989
TORRB1,Gas-steam (Torrens B),202211,18.59,46.0526315789474,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB2,Gas-steam (Torrens B),202211,18.59,46.0526315789474,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB3,Gas-steam (Torrens B),202211,18.59,46.0526315789474,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB4,Gas-steam (Torrens B),202211,18.59,46.0526315789474,gas,9.94,10.71,2.5,187.2846,201.5989
PPCCGT,CCGT (Pelican Pt),202211,18.59,46.0526315789474,gas,7.35,7.35,4.1,140.7365,140.7365
OSB-AG,Cogen (Osborne),202211,18.59,46.0526315789474,gas,8.16,8.16,4.1,155.7944,155.7944
MINTARO,OCGT (Mintaro),202211,18.59,46.0526315789474,gas,10,12.72,12,197.9,248.4648
