term,estimate,std.error,statistic,p.value,scope,dt_variant,outcome,nobs
dt:oppTRUE,0.000609847428044825,0.001285352833306,0.474459161906744,0.681929824443788,PPCCGT,dt,withheld_LPM,4823
dt,-2.37848955574125,0.0188504104609721,-126.177069760135,6.28055769328554e-05,PPCCGT,dt,cheap300_continuous,4823
oppTRUE,-403.63163317845,15.5426395388571,-25.9693105646154,0.00147949846901804,PPCCGT,dt,cheap300_continuous,4823
srmc,-10.0643405955506,0.0851107759404327,-118.249898257236,7.15075442584546e-05,PPCCGT,dt,cheap300_continuous,4823
dt:oppTRUE,2.70767219170318,0.0837077121898598,32.3467470423972,0.000954369854141123,PPCCGT,dt,cheap300_continuous,4823
dt_robust,0.00953305656679978,0.000174697808173003,54.5688389940143,1.3555383462217e-05,PPCCGT,dt_robust,withheld_LPM,5515
oppTRUE,0.110421137582502,0.756340023256397,0.145994042609418,0.893184118531234,PPCCGT,dt_robust,withheld_LPM,5515
srmc,0.00531856012593909,0.00010503143972844,50.6377913098238,1.69604389733817e-05,PPCCGT,dt_robust,withheld_LPM,5515
dt_robust:oppTRUE,-0.00125215390712119,0.00399583619359781,-0.313364674239502,0.77452713799122,PPCCGT,dt_robust,withheld_LPM,5515
dt_robust,-3.88433405698474,0.102572538846601,-37.8691421764828,4.05065441901602e-05,PPCCGT,dt_robust,cheap300_continuous,5515
oppTRUE,-421.663868735487,31.8495949422877,-13.2392223354662,0.000931181986819872,PPCCGT,dt_robust,cheap300_continuous,5515
srmc,-1.41567560287215,0.0371450370666671,-38.1121063449561,3.97380516052324e-05,PPCCGT,dt_robust,cheap300_continuous,5515
dt_robust:oppTRUE,2.80784937327575,0.16765621112988,16.7476609089094,0.000463513122533443,PPCCGT,dt_robust,cheap300_continuous,5515
