SETTLEMENTDATE,d_t,n_obs
2023-06-11T14:05:00Z,307.34108,108541
2023-06-12T14:05:00Z,304.34,108541
2023-06-13T14:05:00Z,301.771745,108424
2023-06-14T14:05:00Z,302.150296,108220
2023-06-15T14:05:00Z,302.75439,107932
2023-06-16T14:05:00Z,303.38732,107644
2023-06-17T14:05:00Z,304.19196,107356
2023-06-18T14:05:00Z,304.44,107068
2023-06-19T14:05:00Z,304.821245,106780
2023-06-20T14:05:00Z,305.647015,106492
2023-06-21T14:05:00Z,306.467656,106204
2023-06-22T14:05:00Z,307.331525,105916
2023-06-23T14:05:00Z,305.65481,105869
2023-06-24T14:05:00Z,302.851562,105869
2023-06-25T14:05:00Z,300.89,105869
2023-06-26T14:05:00Z,300.89,105869
2023-06-27T14:05:00Z,300.01,105869
2023-06-28T14:05:00Z,300.01,105869
2023-06-29T14:05:00Z,299.630136,105869
2023-06-30T14:05:00Z,298.44,105869
2023-07-01T14:05:00Z,298.44,105869
2023-07-02T14:05:00Z,295.918786,105869
2023-07-03T14:05:00Z,295.470582,105869
2023-07-04T14:05:00Z,294.63646,105869
2023-07-05T14:05:00Z,291.23303,105771
2023-07-06T14:05:00Z,285.47286,105771
2023-07-07T14:05:00Z,279.64928,105771
2023-07-08T14:05:00Z,276.63,105771
2023-07-09T14:05:00Z,270.66313,105771
2023-07-10T14:05:00Z,269.14992,105771
2023-07-11T14:05:00Z,266.62,105771
2023-07-12T14:05:00Z,262.39091,105771
2023-07-13T14:05:00Z,257.22822,105771
2023-07-14T14:05:00Z,252,105771
2023-07-15T14:05:00Z,248.24663,105771
2023-07-16T14:05:00Z,247.01,105771
2023-07-17T14:05:00Z,246.28175,105771
2023-07-18T14:05:00Z,243.56079,105771
2023-07-19T14:05:00Z,240.01,105771
2023-07-20T14:05:00Z,238.99,105771
2023-07-21T14:05:00Z,238.29608,105771
2023-07-22T14:05:00Z,237.44,105771
2023-07-23T14:05:00Z,235.13833,105771
2023-07-24T14:05:00Z,233.60553,105771
2023-07-25T14:05:00Z,232.63953,105771
2023-07-26T14:05:00Z,232.41,105771
2023-07-27T14:05:00Z,230.85927,105771
2023-07-28T14:05:00Z,230.32549,105771
2023-07-29T14:05:00Z,229.93,105771
2023-07-30T14:05:00Z,229.93,105771
2023-07-31T14:05:00Z,229.93,105771
2023-08-01T14:05:00Z,229.93,105771
2023-08-02T14:05:00Z,229.93,105771
2023-08-03T14:05:00Z,229.93,105771
2023-08-04T14:05:00Z,229.93,105771
2023-08-05T14:05:00Z,229.93,105771
2023-08-06T14:05:00Z,229.93,105771
2023-08-07T14:05:00Z,229.93,105771
2023-08-08T14:05:00Z,229.68552,105771
2023-08-09T14:05:00Z,228.48548,105771
2023-08-10T14:05:00Z,229.44,105771
2023-08-11T14:05:00Z,229.93,105771
2023-08-12T14:05:00Z,229.93,105771
