episode_id,duid,survivor,window_excess_mwh,seq_class,needed_to_complete,short_at_tau,short_n1_at_tau,piv_n1_at_tau,dir_unit_prior_7d,pre24_shortn1_share
1444,TORRB4,FALSE,70,no exit signal ever,FALSE,FALSE,FALSE,FALSE,4,0.295138888888889
1445,TORRB4,TRUE,0,signal then direction,FALSE,FALSE,TRUE,TRUE,3,0.677083333333333
1446,TORRB4,TRUE,-0.0220075000000008,signal then direction,TRUE,FALSE,TRUE,TRUE,1,0.493055555555556
1450,TORRB4,TRUE,-38.75,signal then direction,FALSE,FALSE,TRUE,TRUE,1,0.885416666666667
1452,TORRB4,TRUE,-285,signal then direction,TRUE,FALSE,TRUE,TRUE,1,0.482638888888889
1461,TORRB4,TRUE,-105.666666666667,signal then direction,FALSE,FALSE,FALSE,FALSE,2,0
1473,TORRB4,TRUE,-621.3939325,signal then direction,FALSE,FALSE,FALSE,TRUE,3,0.524305555555556
1477,TORRB4,FALSE,216.666666666667,signal then direction,FALSE,FALSE,TRUE,TRUE,1,1
1485,TORRB4,TRUE,-410,signal then direction,TRUE,FALSE,FALSE,TRUE,0,0.0451388888888889
1486,TORRB4,TRUE,-620.416666666667,signal then direction,TRUE,FALSE,FALSE,TRUE,1,0.5625
1490,TORRB4,TRUE,-505,signal then direction,FALSE,FALSE,FALSE,FALSE,2,0.430555555555556
