term,estimate,std.error,statistic,p.value,nobs,sample,outcome,loss
essential_dayTRUE,-0.107232701003862,0.122057366988268,-0.87854345583392,0.393504651692168,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
srmc,-0.352021813414889,0.0219699079276859,-16.0229079964091,7.62289437902779e-11,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
dem,-3.18790564924368e-05,0.000257894447626327,-0.123612806657348,0.903263022315654,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
ns,-5.93805017315504e-05,0.00017521323992033,-0.338904193304975,0.739379680409051,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
rrp,0.000128351390799796,0.000270825772404553,0.473926058292813,0.642377260349498,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
slope_mean,0.0162616898481574,0.0155309451907929,1.04705088121731,0.311655682659799,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
sat_share,0.439513633454815,0.632727718063031,0.694633127185099,0.497904364718715,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
exp_loss,0.000498403300901257,0.000329547048239398,1.51238890945609,0.151215921555465,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
essential_dayTRUE:comp_price_100,0.0254735746565154,0.062371025003567,0.408420010013601,0.688736238118238,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
essential_dayTRUE:exp_loss,-0.000281330673735296,0.000700454954281078,-0.401639922761406,0.693613210615419,433,(iii) base minus pre-suspension June,A_withdrawal,with loss control
essential_dayTRUE,-1888.4610486607,2435.09464027468,-0.775518543479558,0.450935333374285,159,(iii) base minus pre-suspension June,B_pricing,no loss control
dem,-4.72338577203998,2.61081838990564,-1.80915907069687,0.0919445598315029,159,(iii) base minus pre-suspension June,B_pricing,no loss control
ns,6.30900621931273,3.19590853145408,1.9740884813253,0.0684392494644159,159,(iii) base minus pre-suspension June,B_pricing,no loss control
rrp,-0.0111377988106813,8.51822501007109,-0.00130752578119422,0.998975194409312,159,(iii) base minus pre-suspension June,B_pricing,no loss control
slope_mean,-829.126005864447,507.315824878267,-1.63433893682185,0.124465434039802,159,(iii) base minus pre-suspension June,B_pricing,no loss control
sat_share,30839.4306027194,20927.0917251419,1.47366060261822,0.162700222636852,159,(iii) base minus pre-suspension June,B_pricing,no loss control
essential_dayTRUE:comp_price_100,1186.65906311317,1000.90065976346,1.18559124877949,0.25551743151565,159,(iii) base minus pre-suspension June,B_pricing,no loss control
essential_dayTRUE,-2049.85555855963,2335.54898306515,-0.877676115304341,0.394932181440002,159,(iii) base minus pre-suspension June,B_pricing,with loss control
dem,-4.42646670570998,2.56449368532887,-1.72605872692657,0.106327952244407,159,(iii) base minus pre-suspension June,B_pricing,with loss control
ns,6.31997131968817,3.03132717697714,2.08488590993681,0.0558721891105211,159,(iii) base minus pre-suspension June,B_pricing,with loss control
rrp,1.11935736827655,5.36714239519866,0.208557419545624,0.83779757746485,159,(iii) base minus pre-suspension June,B_pricing,with loss control
slope_mean,-843.901915817268,498.935537989642,-1.69140470373707,0.1128891822576,159,(iii) base minus pre-suspension June,B_pricing,with loss control
sat_share,30816.4181931631,21017.2654061719,1.4662429958235,0.164681537960676,159,(iii) base minus pre-suspension June,B_pricing,with loss control
exp_loss,2.13960731005795,14.6877003129912,0.145673404580939,0.886255831015722,159,(iii) base minus pre-suspension June,B_pricing,with loss control
essential_dayTRUE:comp_price_100,1390.91675542736,1244.35582721025,1.11778056164665,0.282475645371364,159,(iii) base minus pre-suspension June,B_pricing,with loss control
essential_dayTRUE:exp_loss,-3.88999605970518,18.6884826406051,-0.208149379193218,0.838110048781213,159,(iii) base minus pre-suspension June,B_pricing,with loss control
