DUID,regime,q,norm,ratio,lo,hi,price,plo,phi,n_mth
DRYCGT2,UN,0.45,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.45,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.45,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.45,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.45,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.45,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.45,MAXAVAIL,2.84890263872983,1.45644600882172,125.992708994077,349.83,229.925,16318.94,30
TORRB2,UP,0.45,MAXAVAIL,127.537594670049,82.7120863114212,144.12651888119,16042.86,15490.7,16595.02,30
TORRB3,UN,0.45,MAXAVAIL,25.2718827874593,1.38927291573359,121.358051966162,6660.275,208.2075,16595.02,34
TORRB3,UP,0.45,MAXAVAIL,124.447823318106,82.7120863114212,140.277935097759,16042.86,15490.7,16595.02,34
TORRB3,DN,0.45,MAXAVAIL,121.358051966162,51.8797125684809,140.277935097759,15490.7,12916.69,16595.02,31
TORRB3,DP,0.45,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.45,MAXAVAIL,43.0404271394619,1.48997299767318,127.537594670049,6737.7,273.2275,16595.02,34
TORRB4,UP,0.45,MAXAVAIL,127.537594670049,68.9578854855124,145.409380142334,15490.7,15098.49,16595.02,33
TORRB4,DP,0.45,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.45,MAXAVAIL,68.9578854855124,2.50265006965093,131.305536950814,15490.7,348.97,16595.02,31
BARKIPS1,UN,0.5,MAXAVAIL,140.673197518728,41.5961806453101,159.874214410991,15493.8,8443.66,16600,35
DRYCGT1,UN,0.5,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.5,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.5,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.5,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.5,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.5,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.5,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.5,MAXAVAIL,3.18117015837537,1.45644600882172,125.992708994077,377.84,241.1325,16595.02,30
TORRB2,UP,0.5,MAXAVAIL,127.537594670049,82.7120863114212,144.12651888119,16042.86,15490.7,16595.02,30
TORRB3,UN,0.5,MAXAVAIL,83.4540200667317,1.69626715111362,125.992708994077,12914.75,348.97,16595.02,34
TORRB3,UP,0.5,MAXAVAIL,124.447823318106,88.3943426264692,140.277935097759,16042.86,15490.7,16595.02,34
TORRB3,DN,0.5,MAXAVAIL,121.358051966162,75.8349858984668,140.277935097759,15490.7,12958.165,16595.02,31
TORRB3,DP,0.5,MAXAVAIL,127.537594670049,83.4540200667317,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.5,MAXAVAIL,84.1959538220423,2.79458370256013,127.537594670049,12914.75,349.1725,16595.02,34
TORRB4,UP,0.5,MAXAVAIL,127.537594670049,68.9578854855124,145.409380142334,15490.7,15098.49,16595.02,33
