DUID,cut,q,norm,ratio,lo,hi,price,plo,phi,n_mth
TORRB4,DIRECTED,0.45,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,31
TORRB3,DIRECTED,0.5,MAXAVAIL,127.537594670049,91.8507976755856,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.5,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,31
TORRB3,DIRECTED,0.55,MAXAVAIL,127.537594670049,91.8507976755856,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.55,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,31
TORRB3,DIRECTED,0.6,MAXAVAIL,127.537594670049,91.8507976755856,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.6,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,31
TORRB3,DIRECTED,0.65,MAXAVAIL,127.537594670049,91.8507976755856,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.65,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,31
TORRB3,DIRECTED,0.7,MAXAVAIL,127.537594670049,91.8507976755856,140.277935097759,15490.7,15490.7,16595.02,31
