unit,outcome,base_estimate,base_p,dropped_month,estimate,std.error,p.value,sign_flip,crosses_05,crosses_10
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202301,-0.0754714052843304,0.0352950460279244,0.0397626775520331,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202302,-0.0758452710450427,0.0353079766488058,0.0389171147851955,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202303,-0.0780333778472557,0.0362228318777151,0.0383946557346692,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202304,-0.0752703606714423,0.0352935747895929,0.040253484921079,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202305,-0.075049247204834,0.0352332054605096,0.0404847846059885,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202306,-0.0756402045584655,0.0353891071024213,0.0398422829696312,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202307,-0.075928217704828,0.0355642487711533,0.0400544866221459,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202308,-0.0746178283115414,0.0351576454219392,0.0411703637909858,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202309,-0.0753829368067753,0.0354447190993015,0.040777324587821,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202310,-0.0827658140995758,0.0369239356736467,0.0316286493928648,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202311,-0.0773255640963862,0.0362834590656335,0.0403893148285496,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202312,-0.0754910718111059,0.0353239822283026,0.0398668197947104,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202401,-0.0759977380930725,0.0353754516681779,0.0388989531271948,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202402,-0.0762532138413309,0.0353891804649351,0.038357142070597,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202403,-0.0762523788149114,0.0353118429299064,0.0379630258952474,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202404,-0.0756947577643861,0.0354991725603424,0.0402884043573911,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202405,-0.0752351424765716,0.0353924083092433,0.040869326512043,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202406,-0.0760320898381105,0.0357234137941816,0.0406369127656909,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202407,-0.076219033304253,0.0356723039789782,0.0399070488840069,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202408,-0.0772549691512321,0.0359126017716176,0.0386541482729971,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202409,-0.0796360834059847,0.0373600946786078,0.040351420490152,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202410,-0.0854339710620081,0.0387421832289231,0.0343040616001879,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202411,-0.0706176359411736,0.0386863051572301,0.0767371978390874,FALSE,TRUE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202412,-0.076392826044463,0.0353167588622931,0.0376569742408043,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202201,0.185287484028207,0.0995519732921651,0.0713787751771286,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202202,0.185443039913681,0.0992029664223372,0.0702102574710148,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202203,0.234643571685131,0.0685932407195418,0.00164087130613844,FALSE,TRUE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202204,0.183532162127794,0.098611130069647,0.0713849682645295,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202205,0.184115011171891,0.0991461857697844,0.0719911686675375,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202206,0.187304193713175,0.107921406596567,0.0916980557021573,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202207,0.183724713438721,0.0978473877637524,0.0690271117303475,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202208,0.183425347482248,0.098209927339506,0.0704455029190049,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202209,0.183829292671371,0.0981388592289757,0.0696651976454185,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202210,0.18397238322202,0.0986419553470441,0.0708240611353084,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202211,0.184626026892905,0.0989609540131099,0.070738679265686,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202212,0.185441593151427,0.0991038867402874,0.0699455970994566,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202301,0.186490731748764,0.0995326328192416,0.0695929143497349,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202302,0.184785149198235,0.0989967637034533,0.0706046184659333,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202303,0.185357109925908,0.0987637291852283,0.0691530139402626,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202304,0.184885402157052,0.0980286038244267,0.0678565559709422,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202305,0.184274535864348,0.0981196050471604,0.0689715758794168,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202306,0.184943635580974,0.0980794523105616,0.0679098967883393,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202307,0.184474224698812,0.097095766702849,0.0659521393790365,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202308,0.183881644329913,0.0976266240431617,0.068206621287659,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202309,0.184167414578111,0.0981950809774334,0.0693292064876559,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202310,-0.0825688714190973,0.100925751630915,0.418988445118568,TRUE,FALSE,TRUE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202311,0.18580235272827,0.0994623099817206,0.0703908216048467,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202312,0.185467907960599,0.0992733620900522,0.0703640930811598,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202401,0.184552411718788,0.0993574920143199,0.0719250371055423,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202402,0.184885129859827,0.0994321168573461,0.071640613242413,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202403,0.220170498713067,0.0813879574513262,0.0105903237022611,FALSE,TRUE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202404,0.183742421365305,0.0985234207851166,0.070837056553775,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202405,0.183806386267248,0.0977918974314105,0.068759773707977,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202406,0.183517534173629,0.0981282965177111,0.0700888344368642,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202407,0.183779890440159,0.098081919207035,0.0695823422287286,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202408,0.183914052130615,0.0979386529907508,0.0690012601566195,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202409,0.181484730959873,0.0982098391726688,0.0733274849680692,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202410,0.183210581848501,0.098401156233713,0.0712830303331412,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202411,0.184163739277209,0.0992251058770382,0.0721352940786667,FALSE,FALSE,FALSE
pelican,a_fixed300,0.184386909866006,0.0697469845541439,202412,0.184693444249637,0.0994377878119216,0.0719369462928942,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202201,0.128618350075774,0.0845642376600936,0.137517812310586,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202202,0.128830177740489,0.0842581485985541,0.135517330881274,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202203,0.16685152825129,0.0622605456131141,0.0112711215405101,FALSE,TRUE,TRUE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202204,0.127046965423579,0.0836053494332364,0.137856341371962,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202205,0.127673411783551,0.0841477086623459,0.138446682507696,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202206,0.138933915882613,0.0858561114404977,0.114856600213904,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202207,0.127367172810244,0.0827734450876164,0.133122568985244,FALSE,FALSE,FALSE
